date,label,modifiers,n,pred_range_atr,pred_range_atr_lo,pred_range_atr_hi,pred_range_atr_p25,pred_range_atr_p75,pred_close_up_pct,pred_close_up_lo,pred_close_up_hi,pred_big_range_pct,pred_small_range_pct,real_range_atr,real_up_exc,real_dn_exc,real_close_up
2026-09-14,COILED,BIG_GAP,1131,0.79,0.77,0.809,0.555,0.952,,,,7.5,47.099999999999994,1.297581283541302,1.2225953720032687,0.0749859115380334,1.0
2026-09-15,NEUTRAL,EVENT,2977,0.925,0.912,0.939,0.659,1.107,52.1,50.3,53.9,13.8,29.299999999999997,0.7207553060308417,0.0893344616218824,0.6314208444089593,0.0
2026-09-16,NEUTRAL,EVENT,2977,0.925,0.912,0.939,0.659,1.107,52.1,50.3,53.9,13.8,29.299999999999997,1.4486037126414757,0.4731133979953894,0.975490314646086,0.0
2026-09-17,NEUTRAL,,2978,0.925,0.913,0.939,0.659,1.107,52.0,50.3,53.9,13.8,29.2,0.5828920739129944,0.2581000154519313,0.324792058461063,1.0
2026-09-18,NEUTRAL,,2979,0.925,0.912,0.938,0.659,1.107,52.1,50.2,53.7,13.8,29.299999999999997,0.7987685855792304,0.3467901896241743,0.451978395955056,1.0
2026-09-21,NEUTRAL,,2980,0.925,0.912,0.938,0.659,1.107,52.1,50.2,53.9,13.8,29.299999999999997,,,,
